Title,Duration in minutes,Rating (Numeric),Rating (Label),Votes,Link,Genres,Poster Link,Description,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
Forrest Gump,0.5025906735751295,8.8,PG-13,0.780540790120352,https://www.imdb.com/title/tt0109830/,"Drama, Romance",https://m.media-amazon.com/images/M/MV5BNDYwNzVjMTItZmU5YS00YjQ5LTljYjgtMjY2NDVmYWMyNWFmXkEyXkFqcGc@._V1_.jpg,"The history of the United States from the 1950s to the &apos;70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Lord of the Rings: The Two Towers,0.694300518134715,8.8,PG-13,0.6136226434737226,https://www.imdb.com/title/tt0167261/,"Adventure, Drama, Fantasy",https://m.media-amazon.com/images/M/MV5BMGQxMDdiOWUtYjc1Ni00YzM1LWE2NjMtZTg3Y2JkMjEzMTJjXkEyXkFqcGc@._V1_.jpg,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron&apos;s new ally, Saruman, and his hordes of Isengard.",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fight Club,0.48704663212435234,8.8,R,0.8065294207915805,https://www.imdb.com/title/tt0137523/,Drama,https://m.media-amazon.com/images/M/MV5BOTgyOGQ1NDItNGU3Ny00MjU3LTg2YWEtNmEyYjBiMjI1Y2M5XkEyXkFqcGc@._V1_.jpg,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inception,0.5336787564766841,8.8,PG-13,0.8807856450900899,https://www.imdb.com/title/tt1375666/,"Action, Adventure, Sci-Fi",https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Star Wars: Episode V - The Empire Strikes Back,0.4093264248704664,8.7,PG,0.4703084618281107,https://www.imdb.com/title/tt0080684/,"Action, Adventure, Fantasy",https://m.media-amazon.com/images/M/MV5BMTkxNGFlNDktZmJkNC00MDdhLTg0MTEtZjZiYWI3MGE5NWIwXkEyXkFqcGc@._V1_.jpg,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Matrix,0.4715025906735752,8.7,R,0.7067418943337909,https://www.imdb.com/title/tt0133093/,"Action, Sci-Fi",https://m.media-amazon.com/images/M/MV5BN2NmN2VhMTQtMDNiOS00NDlhLTliMjgtODE2ZTY0ODQyNDRhXkEyXkFqcGc@._V1_.jpg,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Goodfellas,0.5181347150259068,8.7,R,0.43044753296111593,https://www.imdb.com/title/tt0099685/,"Biography, Crime, Drama",https://m.media-amazon.com/images/M/MV5BN2E5NzI2ZGMtY2VjNi00YTRjLWI1MDUtZGY5OWU1MWJjZjRjXkEyXkFqcGc@._V1_.jpg,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One Flew Over the Cuckoo&apos;s Nest,0.45595854922279794,8.7,R,0.36297822602506824,https://www.imdb.com/title/tt0073486/,Drama,https://m.media-amazon.com/images/M/MV5BYjBkMjgzMzYtNzRiMS00NDc3LWE4YTUtZjYxYjZhNjNhYzhhXkEyXkFqcGc@._V1_.jpg,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interstellar,0.6424870466321244,8.7,PG-13,0.7482384571027207,https://www.imdb.com/title/tt0816692/,"Adventure, Drama, Sci-Fi",https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_.jpg,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Se7en,0.42487046632124353,8.6,R,0.6219495377027303,https://www.imdb.com/title/tt0114369/,"Crime, Drama, Mystery",https://m.media-amazon.com/images/M/MV5BY2IzNzMxZjctZjUxZi00YzAxLTk3ZjMtODFjODdhMDU5NDM1XkEyXkFqcGc@._V1_.jpg,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
It&apos;s a Wonderful Life,0.4404145077720208,8.6,PG,0.16654194070886258,https://www.imdb.com/title/tt0038650/,"Drama, Family, Fantasy",https://m.media-amazon.com/images/M/MV5BMDM4OWFhYjEtNTE5Yy00NjcyLTg5N2UtZDQwNDZlYjlmNDU5XkEyXkFqcGc@._V1_.jpg,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Shichinin no samurai,0.839378238341969,8.6,Not Rated,0.11869686048877703,https://www.imdb.com/title/tt0047478/,"Action, Drama",https://m.media-amazon.com/images/M/MV5BZjliMWExOTMtZDQ3ZS00NWU3LWIyN2EtMjllNzk3ZTNlYzg4XkEyXkFqcGc@._V1_.jpg,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Silence of the Lambs,0.378238341968912,8.6,R,0.5327451270683721,https://www.imdb.com/title/tt0102926/,"Crime, Drama, Thriller",https://m.media-amazon.com/images/M/MV5BNDdhOGJhYzctYzYwZC00YmI2LWI0MjctYjg4ODdlMDExYjBlXkEyXkFqcGc@._V1_.jpg,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Saving Private Ryan,0.6424870466321244,8.6,R,0.5125077488958879,https://www.imdb.com/title/tt0120815/,"Drama, War",https://m.media-amazon.com/images/M/MV5BZGZhZGQ1ZWUtZTZjYS00MDJhLWFkYjctN2ZlYjE5NWYwZDM2XkEyXkFqcGc@._V1_.jpg,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cidade de Deus,0.4404145077720208,8.6,R,0.2694479541224802,https://www.imdb.com/title/tt0317248/,"Crime, Drama",https://m.media-amazon.com/images/M/MV5BYjY4NGI5OTUtY2ZlZS00Zjk4LTk5N2MtN2JmYWVjNGNmMGRlXkEyXkFqcGc@._V1_.jpg,"In the slums of Rio, two kids&apos; paths diverge as one struggles to become a photographer and the other a kingpin.",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Green Mile,0.7461139896373057,8.6,R,0.4833083543406999,https://www.imdb.com/title/tt0120689/,"Crime, Drama, Fantasy",https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_.jpg,"Paul Edgecomb, the head death row guard at a prison in 1930s Louisiana, meets an inmate, John Coffey, a black man who is accused of murdering two girls. His life changes drastically when he discovers that John has a special gift.",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
La vita è bella,0.3678756476683938,8.6,PG-13,0.24940797421383776,https://www.imdb.com/title/tt0118799/,"Comedy, Drama, Romance",https://m.media-amazon.com/images/M/MV5BZTBhOGYzZjQtYzE0Mi00MGIwLWE0MWYtNzMxNTM2OTFkM2NjXkEyXkFqcGc@._V1_.jpg,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Terminator 2: Judgment Day,0.4766839378238343,8.6,R,0.4006069320591681,https://www.imdb.com/title/tt0103064/,"Action, Adventure, Sci-Fi",https://m.media-amazon.com/images/M/MV5BNGMyMGNkMDUtMjc2Ni00NWFlLTgyODEtZTY2MzBiZTg0OWZiXkEyXkFqcGc@._V1_.jpg,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Star Wars,0.39378238341968913,8.6,PG,0.493517292290719,https://www.imdb.com/title/tt0076759/,"Action, Adventure, Fantasy",https://m.media-amazon.com/images/M/MV5BOGUwMDk0Y2MtNjBlNi00NmRiLTk2MWYtMGMyMDlhYmI4ZDBjXkEyXkFqcGc@._V1_.jpg,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire&apos;s world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth ...",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Back to the Future,0.3678756476683938,8.5,PG,0.4479392500082812,https://www.imdb.com/title/tt0088763/,"Adventure, Comedy, Sci-Fi",https://m.media-amazon.com/images/M/MV5BZmM3ZjE0NzctNjBiOC00MDZmLTgzMTUtNGVlOWFlOTNiZDJiXkEyXkFqcGc@._V1_.jpg,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sen to Chihiro no kamikakushi,0.4093264248704664,8.6,PG,0.29092921176574776,https://www.imdb.com/title/tt0245429/,"Animation, Adventure, Family",https://m.media-amazon.com/images/M/MV5BNTEyNmEwOWUtYzkyOC00ZTQ4LTllZmUtMjk0Y2YwOGUzYjRiXkEyXkFqcGc@._V1_.jpg,"During her family&apos;s move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Pianist,0.544041450777202,8.5,R,0.311184504506697,https://www.imdb.com/title/tt0253474/,"Biography, Drama, Music",https://m.media-amazon.com/images/M/MV5BMjEwNmEwYjgtNTk3ZC00NjljLTg5ZDctZTY3ZGQwZjRkZmQxXkEyXkFqcGc@._V1_.jpg,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gladiator,0.5699481865284974,8.5,R,0.5696721228358017,https://www.imdb.com/title/tt0172495/,"Action, Adventure, Drama",https://m.media-amazon.com/images/M/MV5BYWQ4YmNjYjEtOWE1Zi00Y2U4LWI4NTAtMTU0MjkxNWQ1ZmJiXkEyXkFqcGc@._V1_.jpg,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gisaengchung,0.45077720207253885,8.5,R,0.33598198538036006,https://www.imdb.com/title/tt6751668/,"Drama, Thriller",https://m.media-amazon.com/images/M/MV5BYjk1Y2U4MjQtY2ZiNS00OWQyLWI3MmYtZWUwNmRjYWRiNWNhXkEyXkFqcGc@._V1_.jpg,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Psycho,0.3316062176165803,8.5,R,0.24147486248033623,https://www.imdb.com/title/tt0054215/,"Horror, Mystery, Thriller",https://m.media-amazon.com/images/M/MV5BYjZhMzFiZjItODA3ZC00MmRhLWIzMGYtMmVjOWUwYTA3MTRjXkEyXkFqcGc@._V1_.jpg,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
The Lion King,0.2227979274611399,8.5,G,0.3902235805746588,https://www.imdb.com/title/tt0110357/,"Animation, Adventure, Drama",https://m.media-amazon.com/images/M/MV5BZGRiZDZhZjItM2M3ZC00Y2IyLTk3Y2MtMWY5YjliNDFkZTJlXkEyXkFqcGc@._V1_.jpg,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Departed,0.5492227979274611,8.5,R,0.48536481159620154,https://www.imdb.com/title/tt0407887/,"Crime, Drama, Thriller",https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_.jpg,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hotaru no haka,0.2227979274611399,8.5,Not Rated,0.10392680580540181,https://www.imdb.com/title/tt0095327/,"Animation, Drama, War",https://m.media-amazon.com/images/M/MV5BNTY5MmE2OGMtN2IxNC00MDY4LTkwMGEtZDUzOTYyNWE0ZTNjXkEyXkFqcGc@._V1_.jpg,A young boy and his little sister struggle to survive in Japan during World War II.,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Whiplash,0.3160621761658032,8.5,R,0.34305925395624653,https://www.imdb.com/title/tt2582802/,"Drama, Music",https://m.media-amazon.com/images/M/MV5BMDFjOWFkYzktYzhhMC00NmYyLTkwY2EtYjViMDhmNzg0OGFkXkEyXkFqcGc@._V1_.jpg,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student&apos;s potential.,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
American History X,0.38341968911917096,8.5,R,0.40170445288569895,https://www.imdb.com/title/tt0120586/,"Crime, Drama",https://m.media-amazon.com/images/M/MV5BMzhiOTQ0NDItOTg0Zi00OGVmLWE0OGEtMTI4NDM0NWMxZWU4XkEyXkFqcGc@._V1_.jpg,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his foot...",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man: Across the Spider-Verse,0.4922279792746114,8.5,PG,0.135304003466638,https://www.imdb.com/title/tt9362722/,"Animation, Action, Adventure",https://m.media-amazon.com/images/M/MV5BNThiZjA3MjItZGY5Ni00ZmJhLWEwN2EtOTBlYTA4Y2E0M2ZmXkEyXkFqcGc@._V1_.jpg,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a ...",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Prestige,0.4404145077720208,8.5,PG-13,0.4934855192824979,https://www.imdb.com/title/tt0482571/,"Drama, Mystery, Sci-Fi",https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_.jpg,Rival 19th-century magicians engage in a bitter battle for trade secrets.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Seppuku,0.45595854922279794,8.6,Not Rated,0.016573341905285338,https://www.imdb.com/title/tt0056058/,"Drama, Mystery",https://m.media-amazon.com/images/M/MV5BZThiZjU5ZDQtZDI4Mi00ZGYyLTkzOTktYmIzZTFlZTkxYzg5XkEyXkFqcGc@._V1_.jpg,"When a ronin requesting seppuku at a feudal lord&apos;s palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan&apos;s integrity.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Léon,0.3367875647668394,8.5,R,0.4245766246654539,https://www.imdb.com/title/tt0110413/,"Action, Crime, Drama",https://m.media-amazon.com/images/M/MV5BNGRkYTNhOWQtYmI0Ni00MjZhLWJmMzAtMTA2Mjg4NGNiNDU0XkEyXkFqcGc@._V1_.jpg,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin&apos;s trade.",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,0.29533678756476683,8.5,PG,0.20133473675386668,https://www.imdb.com/title/tt0034583/,"Drama, Romance, War",https://m.media-amazon.com/images/M/MV5BNWEzN2U1YTYtYTQyMS00NTVkLWE2NGQtZWFlMmM0MDNjMmRiXkEyXkFqcGc@._V1_.jpg,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
The Usual Suspects,0.3160621761658032,8.5,R,0.38735015139500406,https://www.imdb.com/title/tt0114814/,"Crime, Drama, Mystery",https://m.media-amazon.com/images/M/MV5BOTE5MDUxZDUtZWZmZC00NDVmLWFhOGQtNWI2YTc4NzY3MGQ0XkEyXkFqcGc@._V1_.jpg,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Intouchables,0.3471502590673576,8.5,R,0.3153197277256002,https://www.imdb.com/title/tt1675434/,"Comedy, Drama",https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_.jpg,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuovo Cinema Paradiso,0.6683937823834196,8.5,PG,0.09052839864714587,https://www.imdb.com/title/tt0095765/,"Drama, Romance",https://m.media-amazon.com/images/M/MV5BMTljNzc4YWEtYTZlMS00ODMyLWIwMTAtNWQxY2VkMDEwYTk5XkEyXkFqcGc@._V1_.jpg,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater&apos;s film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Modern Times,0.21761658031088082,8.5,G,0.08155657995339508,https://www.imdb.com/title/tt0027977/,"Comedy, Drama, Romance",https://m.media-amazon.com/images/M/MV5BODVkZGFhNGQtYjdiYi00Njc4LWFmYTItNTlmNzJjMTg1ZDc5XkEyXkFqcGc@._V1_.jpg,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Alien,0.3730569948186529,8.5,R,0.3281462207358764,https://www.imdb.com/title/tt0078748/,"Horror, Sci-Fi",https://m.media-amazon.com/images/M/MV5BN2NhMDk2MmEtZDQzOC00MmY5LThhYzAtMDdjZGFjOGZjMjdjXkEyXkFqcGc@._V1_.jpg,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Rear Window,0.3471502590673576,8.5,PG,0.1727829707492278,https://www.imdb.com/title/tt0047396/,"Drama, Mystery, Thriller",https://m.media-amazon.com/images/M/MV5BODZhOWI1ODgtMzdiOS00YjNkLTgwOGUtYmIyZDg5ZmQwMzQ1XkEyXkFqcGc@._V1_.jpg,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Dune: Part Two,0.6269430051813472,8.5,PG-13,0.18432231891582382,https://www.imdb.com/title/tt15239678/,"Action, Adventure, Drama",https://m.media-amazon.com/images/M/MV5BNTc0YmQxMjEtODI5MC00NjFiLTlkMWUtOGQ5NjFmYWUyZGJhXkEyXkFqcGc@._V1_.jpg,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible fu...",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C&apos;era una volta il West,0.6269430051813472,8.5,PG-13,0.1130203083604249,https://www.imdb.com/title/tt0064116/,"Drama, Western",https://m.media-amazon.com/images/M/MV5BZjYyNGY1MDEtN2I1MC00MGVhLTljZTYtODQ1NzQ0ODc2NzZlXkEyXkFqcGc@._V1_.jpg,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Django Unchained,0.6217616580310881,8.5,R,0.583695849836707,https://www.imdb.com/title/tt1853728/,"Comedy, Drama, Western",https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_.jpg,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
